BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
1096260	140	158	181	237	274	320	352	382	415	454
1096270	139	156	178	232	268	312	343	373	405	442
1096300	81	107	148	284	404	581	743	915	1104	1393
1096330	183	240	326	607	847	1197	1510	1839	2198	2740
1096340	83	110	151	283	396	561	708	862	1030	1284
1096350	107	138	185	331	450	620	768	920	1084	1327
1096360	157	205	278	517	722	1021	1288	1570	1877	2342
1096390	67	86	115	206	282	391	486	586	692	852
1096450	121	160	217	407	570	807	1020	1245	1490	1861
1096460	97	127	173	325	454	644	813	991	1185	1478
1096490	70	90	121	217	297	412	512	616	728	895
1096500	63	84	117	229	327	472	603	742	896	1129
1207160	299	355	423	587	693	823	917	1006	1102	1218
1214930	127	161	212	369	497	678	837	1000	1175	1436
1303600	483	579	718	1152	1530	2104	2607	3215	3839	4847
1304950	1059	1281	1567	2350	2912	3647	4202	4831	5395	6282
1310780	8704	9889	11313	15107	17792	21337	23986	27094	29737	34001
2000170	1253	1486	1817	2822	3676	4945	6028	7426	8620	10675
2002040	860	1019	1227	1777	2164	2681	3067	3462	3886	4442
2003050	8412	10261	12687	19700	25154	32197	38124	44237	50709	59407
2003060	327	405	513	850	1133	1548	1904	2309	2736	3390
2003360	46	59	77	137	190	272	347	433	534	695
2003610	141	177	227	373	486	640	764	893	1028	1213
2011930	5485	6486	7869	11744	14591	18504	21805	25057	28496	33390
2016370	491	623	817	1414	1895	2575	3166	3772	4424	5385
2020380	6422	8052	10386	17492	23460	32266	39704	48992	57372	71231
2020400	215	279	374	677	938	1328	1668	2053	2485	3146
2020410	105	137	184	338	470	668	841	1037	1257	1596
2022260	455	539	660	1035	1362	1859	2295	2854	3371	4257
2024650	435	518	636	1001	1317	1790	2200	2688	3186	3976
2026610	1314	1621	2062	3413	4559	6261	7717	9486	11193	13951
2026620	96	122	161	283	386	539	671	818	983	1231
2027230	305	388	509	893	1223	1717	2146	2635	3178	4010
2028280	430	525	662	1054	1351	1758	2102	2445	2806	3327
2028290	413	503	630	991	1263	1631	1942	2250	2574	3039
2028320	3451	4085	4967	7445	9284	11813	13957	16077	18315	21515
2040450	306	361	442	694	916	1255	1555	1938	2300	2921
2043870	460	539	636	870	1023	1211	1347	1476	1616	1784
2047242	579	672	782	1036	1194	1385	1520	1646	1784	1945
2047300	1534	1767	2055	2756	3220	3809	4236	4651	5108	5668
2047350	119	139	164	227	270	322	360	396	435	481
2049700	84	110	149	275	382	535	671	813	967	1198
2049710	201	260	348	630	864	1202	1500	1811	2147	2649
2050230	9475	11765	15256	25070	33046	44111	53967	64696	76503	93117
2060200	93	109	129	180	214	257	288	318	350	388
2200130	317	405	535	930	1265	1755	2192	2662	3187	3923
2200140	161	201	259	438	591	818	1013	1232	1474	1839
2200210	917	1121	1413	2305	3058	4172	5120	6248	7360	9119
